Filename	Area	Mean	Min	Max	Median
072317_06_R3D_w523_t068.tif	0	NaN	255	38	255
072317_06_R3D_w523_t069.tif	0	NaN	255	37	255
072317_06_R3D_w523_t070.tif	0	NaN	255	38	255
072317_06_R3D_w523_t071.tif	0	NaN	255	37	255
072317_06_R3D_w523_t072.tif	0	NaN	255	37	255
072317_06_R3D_w523_t073.tif	0	NaN	255	37	255
072317_06_R3D_w523_t074.tif	0	NaN	255	37	255
072317_06_R3D_w523_t075.tif	0	NaN	255	36	255
072317_06_R3D_w523_t076.tif	0	NaN	255	36	255
072317_06_R3D_w523_t077.tif	0	NaN	255	36	255
072317_06_R3D_w523_t078.tif	0	NaN	255	35	255
072317_06_R3D_w523_t079.tif	0	NaN	255	35	255
072317_06_R3D_w523_t080.tif	0	NaN	255	35	255
072317_06_R3D_w523_t081.tif	0	NaN	255	35	255
072317_06_R3D_w523_t082.tif	0	NaN	255	35	255
072317_06_R3D_w523_t083.tif	0	NaN	255	34	255
072317_06_R3D_w523_t084.tif	0	NaN	255	34	255
072317_06_R3D_w523_t085.tif	0	NaN	255	34	255
072317_06_R3D_w523_t086.tif	0	NaN	255	34	255
072317_06_R3D_w523_t087.tif	0	NaN	255	33	255
072317_06_R3D_w523_t088.tif	0	NaN	255	33	255
072317_06_R3D_w523_t089.tif	0	NaN	255	33	255
072317_06_R3D_w523_t090.tif	0	NaN	255	33	255
072317_06_R3D_w523_t091.tif	0	NaN	255	33	255
072317_06_R3D_w523_t092.tif	0	NaN	255	32	255
072317_06_R3D_w523_t093.tif	0	NaN	255	32	255
072317_06_R3D_w523_t094.tif	0	NaN	255	32	255
072317_06_R3D_w523_t095.tif	0	NaN	255	31	255
072317_06_R3D_w523_t096.tif	0	NaN	255	31	255
072317_06_R3D_w523_t097.tif	0	NaN	255	31	255
072317_06_R3D_w523_t098.tif	0	NaN	255	32	255
072317_06_R3D_w523_t099.tif	0	NaN	255	32	255
072317_06_R3D_w523_t100.tif	0	NaN	255	31	255
072317_06_R3D_w523_t101.tif	0	NaN	255	31	255
072317_06_R3D_w523_t102.tif	0	NaN	255	31	255
072317_06_R3D_w523_t103.tif	0	NaN	255	31	255
072317_06_R3D_w523_t104.tif	0	NaN	255	31	255
072317_06_R3D_w523_t105.tif	0	NaN	255	30	255
